pattern_id,main_mask,degree,exp_list,exp_mons
0,1,1,"[m0,m1]",1 + x0
1,2,1,"[m0,m2]",1 + x1
2,5,2,"[m4,m5]",x2 + x0x2
3,5,2,"[m1,m5]",x0 + x0x2
4,5,2,"[m0,m1,m4,m5]",1 + x0 + x2 + x0x2
5,5,2,"[m0,m5]",1 + x0x2
6,7,3,"[m6,m7]",x1x2 + x0x1x2
7,7,3,"[m5,m7]",x0x2 + x0x1x2
8,7,3,"[m4,m5,m6,m7]",x2 + x0x2 + x1x2 + x0x1x2
9,7,3,"[m4,m7]",x2 + x0x1x2
10,7,3,"[m3,m7]",x0x1 + x0x1x2
11,7,3,"[m2,m3,m6,m7]",x1 + x0x1 + x1x2 + x0x1x2
12,7,3,"[m2,m7]",x1 + x0x1x2
13,7,3,"[m1,m3,m5,m7]",x0 + x0x1 + x0x2 + x0x1x2
14,7,3,"[m1,m7]",x0 + x0x1x2
15,7,3,"[m0,m1,m2,m3,m4,m5,m6,m7]",1 + x0 + x1 + x0x1 + x2 + x0x2 + x1x2 + x0x1x2
16,7,3,"[m0,m1,m6,m7]",1 + x0 + x1x2 + x0x1x2
17,7,3,"[m0,m3,m4,m7]",1 + x0x1 + x2 + x0x1x2
18,7,3,"[m0,m7]",1 + x0x1x2
19,7,3,"[m0,m2,m5,m7]",1 + x1 + x0x2 + x0x1x2
20,8,1,"[m0,m8]",1 + x3
21,10,2,"[m8,m10]",x3 + x1x3
22,10,2,"[m2,m10]",x1 + x1x3
23,10,2,"[m0,m2,m8,m10]",1 + x1 + x3 + x1x3
24,10,2,"[m0,m10]",1 + x1x3
25,13,3,"[m12,m13]",x2x3 + x0x2x3
26,13,3,"[m9,m13]",x0x3 + x0x2x3
27,13,3,"[m8,m9,m12,m13]",x3 + x0x3 + x2x3 + x0x2x3
28,13,3,"[m8,m13]",x3 + x0x2x3
29,13,3,"[m5,m13]",x0x2 + x0x2x3
30,13,3,"[m4,m5,m12,m13]",x2 + x0x2 + x2x3 + x0x2x3
31,13,3,"[m4,m13]",x2 + x0x2x3
32,13,3,"[m1,m5,m9,m13]",x0 + x0x2 + x0x3 + x0x2x3
33,13,3,"[m1,m13]",x0 + x0x2x3
34,13,3,"[m0,m1,m4,m5,m8,m9,m12,m13]",1 + x0 + x2 + x0x2 + x3 + x0x3 + x2x3 + x0x2x3
35,13,3,"[m0,m1,m12,m13]",1 + x0 + x2x3 + x0x2x3
36,13,3,"[m0,m5,m8,m13]",1 + x0x2 + x3 + x0x2x3
37,13,3,"[m0,m13]",1 + x0x2x3
38,13,3,"[m0,m4,m9,m13]",1 + x2 + x0x3 + x0x2x3
39,21,3,"[m20,m21]",x2x4 + x0x2x4
40,21,3,"[m17,m21]",x0x4 + x0x2x4
41,21,3,"[m16,m17,m20,m21]",x4 + x0x4 + x2x4 + x0x2x4
42,21,3,"[m16,m21]",x4 + x0x2x4
43,21,3,"[m5,m21]",x0x2 + x0x2x4
44,21,3,"[m4,m5,m20,m21]",x2 + x0x2 + x2x4 + x0x2x4
45,21,3,"[m4,m21]",x2 + x0x2x4
46,21,3,"[m1,m5,m17,m21]",x0 + x0x2 + x0x4 + x0x2x4
47,21,3,"[m1,m21]",x0 + x0x2x4
48,21,3,"[m0,m1,m4,m5,m16,m17,m20,m21]",1 + x0 + x2 + x0x2 + x4 + x0x4 + x2x4 + x0x2x4
49,21,3,"[m0,m1,m20,m21]",1 + x0 + x2x4 + x0x2x4
50,21,3,"[m0,m5,m16,m21]",1 + x0x2 + x4 + x0x2x4
51,21,3,"[m0,m21]",1 + x0x2x4
52,21,3,"[m0,m4,m17,m21]",1 + x2 + x0x4 + x0x2x4
53,24,2,"[m16,m24]",x4 + x3x4
54,24,2,"[m8,m24]",x3 + x3x4
55,24,2,"[m0,m8,m16,m24]",1 + x3 + x4 + x3x4
56,24,2,"[m0,m24]",1 + x3x4
57,27,4,"[m26,m27]",x1x3x4 + x0x1x3x4
58,27,4,"[m25,m27]",x0x3x4 + x0x1x3x4
59,27,4,"[m24,m25,m26,m27]",x3x4 + x0x3x4 + x1x3x4 + x0x1x3x4
60,27,4,"[m24,m27]",x3x4 + x0x1x3x4
61,27,4,"[m19,m27]",x0x1x4 + x0x1x3x4
62,27,4,"[m18,m19,m26,m27]",x1x4 + x0x1x4 + x1x3x4 + x0x1x3x4
63,27,4,"[m18,m27]",x1x4 + x0x1x3x4
64,27,4,"[m17,m19,m25,m27]",x0x4 + x0x1x4 + x0x3x4 + x0x1x3x4
65,27,4,"[m17,m27]",x0x4 + x0x1x3x4
66,27,4,"[m16,m17,m18,m19,m24,m25,m26,m27]",x4 + x0x4 + x1x4 + x0x1x4 + x3x4 + x0x3x4 + x1x3x4 + x0x1x3x4
67,27,4,"[m16,m17,m26,m27]",x4 + x0x4 + x1x3x4 + x0x1x3x4
68,27,4,"[m16,m19,m24,m27]",x4 + x0x1x4 + x3x4 + x0x1x3x4
69,27,4,"[m16,m27]",x4 + x0x1x3x4
70,27,4,"[m16,m18,m25,m27]",x4 + x1x4 + x0x3x4 + x0x1x3x4
71,27,4,"[m11,m27]",x0x1x3 + x0x1x3x4
72,27,4,"[m10,m11,m26,m27]",x1x3 + x0x1x3 + x1x3x4 + x0x1x3x4
73,27,4,"[m10,m27]",x1x3 + x0x1x3x4
74,27,4,"[m9,m11,m25,m27]",x0x3 + x0x1x3 + x0x3x4 + x0x1x3x4
75,27,4,"[m9,m27]",x0x3 + x0x1x3x4
76,27,4,"[m8,m9,m10,m11,m24,m25,m26,m27]",x3 + x0x3 + x1x3 + x0x1x3 + x3x4 + x0x3x4 + x1x3x4 + x0x1x3x4
77,27,4,"[m8,m9,m26,m27]",x3 + x0x3 + x1x3x4 + x0x1x3x4
78,27,4,"[m8,m11,m24,m27]",x3 + x0x1x3 + x3x4 + x0x1x3x4
79,27,4,"[m8,m27]",x3 + x0x1x3x4
80,27,4,"[m8,m10,m25,m27]",x3 + x1x3 + x0x3x4 + x0x1x3x4
81,27,4,"[m3,m11,m19,m27]",x0x1 + x0x1x3 + x0x1x4 + x0x1x3x4
82,27,4,"[m3,m27]",x0x1 + x0x1x3x4
83,27,4,"[m2,m3,m10,m11,m18,m19,m26,m27]",x1 + x0x1 + x1x3 + x0x1x3 + x1x4 + x0x1x4 + x1x3x4 + x0x1x3x4
84,27,4,"[m2,m3,m26,m27]",x1 + x0x1 + x1x3x4 + x0x1x3x4
85,27,4,"[m2,m11,m18,m27]",x1 + x0x1x3 + x1x4 + x0x1x3x4
86,27,4,"[m2,m27]",x1 + x0x1x3x4
87,27,4,"[m2,m10,m19,m27]",x1 + x1x3 + x0x1x4 + x0x1x3x4
88,27,4,"[m1,m3,m9,m11,m17,m19,m25,m27]",x0 + x0x1 + x0x3 + x0x1x3 + x0x4 + x0x1x4 + x0x3x4 + x0x1x3x4
89,27,4,"[m1,m3,m25,m27]",x0 + x0x1 + x0x3x4 + x0x1x3x4
90,27,4,"[m1,m11,m17,m27]",x0 + x0x1x3 + x0x4 + x0x1x3x4
91,27,4,"[m1,m27]",x0 + x0x1x3x4
92,27,4,"[m1,m9,m19,m27]",x0 + x0x3 + x0x1x4 + x0x1x3x4
93,27,4,"[m0,m1,m2,m3,m8,m9,m10,m11,m16,m17,m18,m19,m24,m25,m26,m27]",1 + x0 + x1 + x0x1 + x3 + x0x3 + x1x3 + x0x1x3 + x4 + x0x4 + x1x4 + x0x1x4 + x3x4 + x0x3x4 + x1x3x4 + x0x1x3x4
94,27,4,"[m0,m1,m2,m3,m24,m25,m26,m27]",1 + x0 + x1 + x0x1 + x3x4 + x0x3x4 + x1x3x4 + x0x1x3x4
95,27,4,"[m0,m1,m10,m11,m16,m17,m26,m27]",1 + x0 + x1x3 + x0x1x3 + x4 + x0x4 + x1x3x4 + x0x1x3x4
96,27,4,"[m0,m1,m26,m27]",1 + x0 + x1x3x4 + x0x1x3x4
97,27,4,"[m0,m1,m8,m9,m18,m19,m26,m27]",1 + x0 + x3 + x0x3 + x1x4 + x0x1x4 + x1x3x4 + x0x1x3x4
98,27,4,"[m0,m3,m8,m11,m16,m19,m24,m27]",1 + x0x1 + x3 + x0x1x3 + x4 + x0x1x4 + x3x4 + x0x1x3x4
99,27,4,"[m0,m3,m24,m27]",1 + x0x1 + x3x4 + x0x1x3x4
100,27,4,"[m0,m11,m16,m27]",1 + x0x1x3 + x4 + x0x1x3x4
101,27,4,"[m0,m27]",1 + x0x1x3x4
102,27,4,"[m0,m8,m19,m27]",1 + x3 + x0x1x4 + x0x1x3x4
103,27,4,"[m0,m2,m9,m11,m16,m18,m25,m27]",1 + x1 + x0x3 + x0x1x3 + x4 + x1x4 + x0x3x4 + x0x1x3x4
104,27,4,"[m0,m9,m18,m27]",1 + x0x3 + x1x4 + x0x1x3x4
105,27,4,"[m0,m2,m25,m27]",1 + x1 + x0x3x4 + x0x1x3x4
106,27,4,"[m0,m2,m8,m10,m17,m19,m25,m27]",1 + x1 + x3 + x1x3 + x0x4 + x0x1x4 + x0x3x4 + x0x1x3x4
107,27,4,"[m0,m10,m17,m27]",1 + x1x3 + x0x4 + x0x1x3x4
108,28,3,"[m24,m28]",x3x4 + x2x3x4
109,28,3,"[m20,m28]",x2x4 + x2x3x4
110,28,3,"[m16,m20,m24,m28]",x4 + x2x4 + x3x4 + x2x3x4
111,28,3,"[m16,m28]",x4 + x2x3x4
112,28,3,"[m12,m28]",x2x3 + x2x3x4
113,28,3,"[m8,m12,m24,m28]",x3 + x2x3 + x3x4 + x2x3x4
114,28,3,"[m8,m28]",x3 + x2x3x4
115,28,3,"[m4,m12,m20,m28]",x2 + x2x3 + x2x4 + x2x3x4
116,28,3,"[m4,m28]",x2 + x2x3x4
117,28,3,"[m0,m4,m8,m12,m16,m20,m24,m28]",1 + x2 + x3 + x2x3 + x4 + x2x4 + x3x4 + x2x3x4
118,28,3,"[m0,m4,m24,m28]",1 + x2 + x3x4 + x2x3x4
119,28,3,"[m0,m12,m16,m28]",1 + x2x3 + x4 + x2x3x4
120,28,3,"[m0,m28]",1 + x2x3x4
121,28,3,"[m0,m8,m20,m28]",1 + x3 + x2x4 + x2x3x4
122,29,4,"[m28,m29]",x2x3x4 + x0x2x3x4
123,29,4,"[m25,m29]",x0x3x4 + x0x2x3x4
124,29,4,"[m24,m25,m28,m29]",x3x4 + x0x3x4 + x2x3x4 + x0x2x3x4
